package,current_version(s),latest_version,location_count,dep_type(s)
"jsdom","^27.4.0","28.0.0","2","dependencies"
"json5","^2.2.3","2.2.3","1","dependencies"
"jsonpath-plus","^7.2.0","10.3.0","1","dependencies"
"jsonwebtoken","9.0.2","9.0.3","2","dependencies"
"jwks-rsa","^3.0.0","3.2.2","2","dependencies"
"karma","~6.4.0","6.4.4","2","dev"
"karma-chrome-launcher","~3.2.0","3.2.0","2","dev"
"karma-coverage","~2.2.0","2.2.1","2","dev"
"karma-jasmine","~5.1.0","5.1.0","2","dev"
"karma-jasmine-html-reporter","2.1.0 | ~2.1.0","2.2.0","2","dev"
"lodash","^4.17.21","4.17.23","3","dependencies"
"lodash.mergewith","^4.6.2","4.6.2","1","dependencies"
"lru-cache","^10.0.0","11.2.5","1","dependencies"
"mammoth","^1.8.0","1.11.0","2","dependencies"
"marked","^14.1.4","17.0.1","4","dependencies"
"marked-alert","^2.1.2","2.1.2","1","dependencies"
"marked-gfm-heading-id","^4.1.3","4.1.3","1","dependencies"
"marked-highlight","^2.2.3","2.2.3","1","dependencies"
"marked-smartypants","^1.1.11","1.1.11","1","dependencies"
"mathjs","^12.0.0","15.1.0","1","dependencies"
"mermaid","^11.12.2","11.12.2","2","dependencies"
"mime-types","^2.1.35","3.0.2","1","dependencies"
"minimatch","^9.0.3","10.1.2","1","dependencies"
"mj_generatedactions","1.0.0","NOT_FOUND","1","dependencies"
"mssql","^11.0.1 | ^10.0.1","12.2.0","13","dependencies"
"mysql2","^3.11.0","3.16.3","1","dependencies"
"ng-packagr","^21.0.0","21.1.0","1","dev"
"node-flyway","0.0.13","0.0.13","1","dependencies"
"node-sql-parser","^5.3.5 | ^5.3.13","5.4.0","3","dependencies"
"nodemon","^3.1.4","3.1.11","1","dev"
"nunjucks","^3.2.4 | 3.2.4","3.2.4","6","dependencies"
"nwsapi","^2.2.12","2.2.23","2","dependencies"
"oclif","^4","4.22.73","2","dev"
"officeparser","^6.0.4","6.0.4","1","dependencies"
"ollama","^0.5.17","0.6.3","1","dependencies"
"openai","5.12.2 | ^4.28.4 | ^4.51.0","6.18.0","6","dependencies"
"ora","^5.4.1","9.3.0","3","dependencies"
"ora-classic","^5.4.2","5.4.2","4","dependencies"
"papaparse","^5.4.1","5.5.3","2","dependencies"
"parse5","^7.1.2","8.0.0","2","dependencies"
"path-browserify","^1.0.1","1.0.1","1","dev"
"pdf-parse","^1.1.1","2.4.5","3","dependencies"
"pdfkit","^0.14.0","0.17.2","1","dependencies"
"pg","^8.11.0","8.18.0","1","dependencies"
"pkgroll","2.1.1","2.23.0","3","dev"
"playwright","^1.40.0","1.58.1","1","dependencies"
"prismjs","^1.30.0","1.30.0","1","dependencies"
"psl","^1.9.0","1.15.0","2","dependencies"
"react","^18.2.0","19.2.4","2","dependencies"
"react-dom","^18.2.0","19.2.4","2","dependencies"
"readline","^1.3.0","1.3.0","1","dependencies"
"recast","^0.23.9","0.23.11","1","dependencies"
"reflect-metadata","0.2.2","0.2.2","2","dependencies"
"rete","^2.0.6","2.0.6","1","dependencies"
"rete-area-plugin","^2.0.3","2.1.5","1","dependencies"
